Repository_Name,Dependency_List,Dependency_Version,Vulnerability_Severity,CI_CD_Pipeline_Stage,Infrastructure_Script,Resource_Type,Public_Exposure,Severity_Score,Exposure_Score,Total_Risk_Score,Risk_Level
notification-service,spring-core,2.15.18,Medium,Build,notification-service_infra.tf,Server,Yes,3.0,5,8.0,High
analytics-worker,express,5.2.13,Low,Build,analytics-worker_infra.tf,KubernetesCluster,No,1.0,0,1.0,Low
user-profile,django,0.8.15,Medium,Deploy,user-profile_infra.tf,Server,No,3.0,0,3.0,Low
user-profile,lodash,3.7.1,Medium,Test,user-profile_infra.tf,Database,No,3.0,0,3.0,Low
order-engine,numpy,2.8.19,Low,Deploy,order-engine_infra.tf,LoadBalancer,Yes,1.0,5,6.0,Medium
order-engine,pandas,2.1.2,High,Deploy,order-engine_infra.tf,Database,Yes,5.0,5,10.0,High
notification-service,pandas,1.1.13,High,Build,notification-service_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
notification-service,express,2.3.11,High,Build,notification-service_infra.tf,Storage,Yes,5.0,5,10.0,High
analytics-worker,jsonwebtoken,4.18.4,Medium,Deploy,analytics-worker_infra.tf,Storage,No,3.0,0,3.0,Low
auth-api,spring-core,5.2.8,Medium,Deploy,auth-api_infra.tf,LoadBalancer,Yes,3.0,5,8.0,High
auth-api,requests,0.2.4,High,Test,auth-api_infra.tf,LoadBalancer,No,5.0,0,5.0,Medium
auth-api,flask,1.5.20,Critical,Deploy,auth-api_infra.tf,KubernetesCluster,Yes,0.0,5,5.0,Medium
order-engine,spring-core,3.1.0,High,Deploy,order-engine_infra.tf,Storage,No,5.0,0,5.0,Medium
auth-api,jsonwebtoken,0.10.15,Critical,Build,auth-api_infra.tf,Server,Yes,0.0,5,5.0,Medium
analytics-worker,spring-core,3.0.5,Medium,Test,analytics-worker_infra.tf,Storage,Yes,3.0,5,8.0,High
order-engine,lodash,3.7.17,Low,Test,order-engine_infra.tf,LoadBalancer,No,1.0,0,1.0,Low
payment-service,jsonwebtoken,0.18.9,Low,Test,payment-service_infra.tf,KubernetesCluster,Yes,1.0,5,6.0,Medium
payment-service,pandas,4.14.9,High,Test,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
order-engine,lodash,1.19.3,Medium,Test,order-engine_infra.tf,LoadBalancer,No,3.0,0,3.0,Low
auth-api,lodash,5.14.2,Medium,Build,auth-api_infra.tf,Server,No,3.0,0,3.0,Low
notification-service,express,4.3.15,Medium,Build,notification-service_infra.tf,Database,Yes,3.0,5,8.0,High
order-engine,log4j,4.5.19,Medium,Test,order-engine_infra.tf,LoadBalancer,No,3.0,0,3.0,Low
