Repository_Name,Dependency_List,Dependency_Version,Vulnerability_Severity,CI_CD_Pipeline_Stage,Infrastructure_Script,Resource_Type,Public_Exposure,Severity_Score,Exposure_Score,Total_Risk_Score,Risk_Level
order-engine,pandas,2.1.2,High,Deploy,order-engine_infra.tf,Database,Yes,5.0,5,10.0,High
notification-service,express,2.3.11,High,Build,notification-service_infra.tf,Storage,Yes,5.0,5,10.0,High
payment-service,pandas,4.14.9,High,Test,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
auth-api,flask,0.20.14,High,Build,auth-api_infra.tf,Database,Yes,5.0,5,10.0,High
analytics-worker,requests,1.3.15,High,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
analytics-worker,flask,4.9.15,High,Build,analytics-worker_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
auth-api,requests,5.0.11,High,Test,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
analytics-worker,numpy,4.9.15,High,Test,analytics-worker_infra.tf,Storage,Yes,5.0,5,10.0,High
auth-api,spring-core,4.16.10,High,Build,auth-api_infra.tf,Storage,Yes,5.0,5,10.0,High
payment-service,lodash,4.11.9,High,Build,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
auth-api,jsonwebtoken,0.12.17,High,Test,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
auth-api,express,4.10.20,High,Build,auth-api_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
user-profile,numpy,4.8.8,High,Deploy,user-profile_infra.tf,Database,Yes,5.0,5,10.0,High
auth-api,pandas,3.4.2,High,Deploy,auth-api_infra.tf,Server,Yes,5.0,5,10.0,High
auth-api,log4j,3.10.6,High,Deploy,auth-api_infra.tf,Database,Yes,5.0,5,10.0,High
user-profile,log4j,3.17.18,High,Test,user-profile_infra.tf,Storage,Yes,5.0,5,10.0,High
notification-service,django,0.9.13,High,Deploy,notification-service_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
payment-service,flask,3.2.2,High,Deploy,payment-service_infra.tf,Server,Yes,5.0,5,10.0,High
payment-service,express,1.15.13,High,Build,payment-service_infra.tf,Database,Yes,5.0,5,10.0,High
notification-service,lodash,1.9.14,High,Build,notification-service_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
user-profile,express,0.12.8,High,Test,user-profile_infra.tf,Server,Yes,5.0,5,10.0,High
analytics-worker,log4j,4.19.10,High,Deploy,analytics-worker_infra.tf,Database,Yes,5.0,5,10.0,High
analytics-worker,lodash,1.19.14,High,Deploy,analytics-worker_infra.tf,LoadBalancer,Yes,5.0,5,10.0,High
user-profile,flask,3.2.20,High,Build,user-profile_infra.tf,Server,Yes,5.0,5,10.0,High
analytics-worker,spring-core,0.0.0,High,Test,analytics-worker_infra.tf,KubernetesCluster,Yes,5.0,5,10.0,High
